ts,label,id,confidence,startX,startY,endX,endY
1539048822,videostart,0,0,0,0,0,0
1539048826,person,0,0.91,49,0,396,225
1539048826,person,0,0.97,78,0,396,225
1539048826,person,0,0.99,73,0,384,225
1539048826,person,0,1.00,96,0,381,225
1539048826,person,0,1.00,97,0,377,224
1539048826,person,0,1.00,100,0,371,224
1539048826,person,0,1.00,102,0,372,224
1539048827,person,0,1.00,117,0,367,224
1539048827,person,0,0.99,122,0,364,224
1539048827,person,0,1.00,126,0,366,224
1539048827,person,0,0.99,126,0,367,224
1539048827,person,0,0.99,122,0,367,224
1539048827,person,0,0.99,126,0,360,224
1539048827,person,0,0.99,126,0,355,225
1539048827,person,0,0.97,127,0,359,224
1539048827,person,0,0.97,129,0,357,224
1539048827,person,0,0.98,123,0,359,224
1539048827,person,0,0.95,126,1,369,224
1539048827,person,0,0.94,128,0,366,224
1539048827,person,0,0.91,135,0,357,224
1539048827,person,0,0.93,125,1,366,224
1539048827,person,0,0.90,136,-1,353,223
1539048827,person,0,0.89,135,-1,356,222
1539048827,person,0,0.94,128,1,368,224
1539048828,person,0,0.97,133,1,369,224
1539048828,person,0,0.97,134,0,376,224
1539048828,person,0,0.98,130,0,370,224
1539048828,person,0,0.99,129,0,378,224
1539048828,person,0,0.99,126,1,374,224
1539048828,person,0,0.99,122,1,378,224
1539048828,person,0,0.96,117,0,380,224
1539048828,person,0,0.99,123,1,385,224
1539048828,person,0,0.99,123,1,388,224
1539048828,person,0,0.99,123,1,387,224
1539048828,person,0,0.99,114,1,389,224
1539048828,person,0,0.92,108,0,392,224
1539048828,person,1,0.71,103,0,392,224
1539048828,person,1,0.75,102,0,394,224
1539048828,person,0,1.00,110,1,390,223
1539048829,person,0,0.99,112,2,389,223
1539048829,person,0,1.00,110,1,391,224
1539048829,person,0,1.00,109,2,394,224
1539048829,person,0,0.99,115,1,379,224
1539048829,person,0,0.96,106,2,381,223
1539048829,person,0,0.96,107,-2,368,222
1539048829,person,0,0.98,107,2,392,223
1539048829,person,0,1.00,93,0,396,225
1539048829,person,0,0.97,34,0,397,224
1539048829,person,0,0.98,57,0,395,224
1539048829,person,0,0.99,58,0,395,225
1539048829,person,0,0.99,68,-1,388,225
1539048829,person,0,0.99,71,0,382,225
1539048829,person,0,0.99,22,0,394,225
1539048829,person,0,0.98,53,-1,364,225
1539048830,person,0,0.98,50,0,352,225
1539048830,person,0,0.99,43,0,345,225
1539048830,person,0,0.99,64,-1,340,225
