ts,label,id,confidence,startX,startY,endX,endY
1538161311,None,videostart,0,0,0,0,0
1538161311,person,0,1.00,126,0,357,226
1538161312,person,0,1.00,126,0,353,225
1538161312,person,0,1.00,127,0,353,225
1538161312,person,0,1.00,127,0,353,225
1538161312,person,0,1.00,126,0,353,225
1538161312,person,0,1.00,127,0,353,225
1538161312,person,0,1.00,126,0,353,225
1538161312,person,0,1.00,126,0,352,225
1538161312,person,0,1.00,127,0,352,225
1538161312,person,0,1.00,127,0,352,225
1538161312,person,0,1.00,128,0,352,225
1538161312,person,0,1.00,128,0,352,225
1538161313,person,0,1.00,128,0,352,225
1538161313,person,0,1.00,128,0,351,225
1538161313,person,0,1.00,128,0,351,225
1538161313,person,0,1.00,128,0,352,225
1538161313,person,0,1.00,128,0,351,225
1538161313,person,0,1.00,128,0,352,225
1538161313,person,0,1.00,128,0,352,225
1538161313,person,0,1.00,127,0,350,225
1538161313,person,0,1.00,128,0,350,225
1538161313,person,0,1.00,127,0,352,225
1538161313,person,0,1.00,126,0,351,225
1538161313,person,1,1.00,127,0,350,225
1538161313,person,0,1.00,127,0,351,225
1538161313,person,0,1.00,125,0,350,225
1538161313,person,0,1.00,124,0,350,225
1538161313,person,0,1.00,124,0,351,225
1538161314,person,1,1.00,123,0,352,226
1538161314,person,1,1.00,123,0,352,225
1538161314,person,1,1.00,122,-1,351,225
1538161314,person,1,1.00,123,0,351,225
1538161314,person,0,1.00,123,0,350,225
1538161314,person,1,1.00,123,0,351,225
1538161314,person,0,1.00,122,0,351,225
1538161314,person,1,1.00,123,0,351,225
1538161314,person,0,1.00,122,0,351,226
1538161314,person,0,1.00,122,0,351,226
1538161314,person,0,1.00,123,0,351,225
1538161314,person,1,1.00,123,0,350,225
1538161314,person,1,1.00,125,0,351,225
1538161314,person,1,1.00,125,0,351,225
1538161314,person,1,1.00,126,0,352,225
1538161314,person,1,1.00,125,0,351,225
1538161314,person,1,1.00,125,0,352,225
1538161315,person,0,1.00,128,0,352,225
1538161315,person,1,1.00,127,0,352,225
1538161315,person,1,1.00,124,0,355,225
1538161315,person,1,1.00,122,0,354,225
1538161315,person,0,0.99,122,0,356,225
1538161315,person,0,1.00,125,4,357,224
1538161315,person,0,1.00,115,1,354,224
1538161315,person,1,1.00,108,3,350,223
1538161315,person,0,1.00,96,6,348,223
1538161315,person,1,1.00,96,5,350,224
1538161315,person,1,1.00,97,14,356,224
1538161315,person,1,1.00,89,13,361,224
1538161315,person,1,1.00,85,16,362,224
1538161315,person,1,1.00,82,14,364,223
1538161315,person,1,1.00,79,18,367,224
1538161315,person,0,0.99,79,19,369,224
1538161315,person,1,0.99,81,18,369,224
1538161316,person,1,1.00,84,8,362,224
1538161316,person,1,1.00,93,7,363,224
1538161316,person,0,1.00,96,0,364,224
1538161316,person,0,1.00,98,1,365,224
1538161316,person,1,1.00,91,1,366,224
1538161316,person,1,1.00,92,1,368,224
1538161316,person,1,1.00,87,2,369,224
1538161316,person,1,1.00,86,0,373,224
1538161316,person,1,1.00,84,1,370,224
1538161316,person,1,1.00,80,1,367,224
1538161316,person,1,1.00,77,1,368,225
1538161316,person,1,1.00,73,1,366,225
1538161316,person,1,1.00,73,1,368,225
1538161316,person,1,1.00,71,1,365,224
1538161316,person,1,1.00,68,2,363,224
1538161316,person,1,1.00,69,2,363,224
1538161316,person,1,1.00,66,1,362,224
1538161317,person,1,1.00,62,0,363,224
1538161317,person,1,1.00,58,1,363,224
1538161317,person,1,1.00,51,1,361,224
1538161317,person,1,1.00,49,1,361,224
1538161317,person,1,1.00,45,1,362,224
1538161317,person,1,1.00,47,1,360,223
1538161317,person,1,1.00,50,0,357,224
1538161317,person,1,1.00,43,0,351,224
1538161317,person,1,1.00,42,0,353,223
1538161317,person,1,1.00,39,0,343,224
1538161317,person,1,1.00,38,0,333,224
1538161317,person,1,1.00,34,0,333,223
1538161317,person,1,1.00,20,1,327,223
1538161317,person,1,1.00,15,2,323,224
1538161317,person,1,0.99,16,2,324,224
1538161317,person,1,1.00,14,2,318,224
1538161317,person,1,1.00,12,1,316,224
1538161317,person,1,1.00,12,2,317,224
1538161318,person,1,0.99,11,2,319,224
1538161318,person,1,0.99,11,2,324,223
1538161318,person,1,0.98,14,3,329,223
1538161318,person,1,0.98,17,3,332,223
1538161318,person,0,0.99,26,0,332,223
1538161318,person,1,0.98,25,0,334,223
1538161318,person,1,0.99,20,2,337,223
1538161318,person,1,0.99,20,1,331,223
1538161318,person,1,0.99,27,0,330,223
1538161318,person,1,0.98,20,1,334,223
1538161318,person,1,0.96,17,2,330,224
1538161318,person,1,0.97,15,2,327,224
1538161318,person,1,0.99,16,2,324,224
1538161318,person,1,0.99,16,1,324,224
1538161318,person,1,0.99,15,1,323,224
1538161318,person,1,1.00,15,1,323,224
1538161318,person,2,0.99,18,1,322,224
1538161319,person,2,1.00,17,1,320,224
1538161319,person,2,1.00,18,1,319,224
1538161319,person,2,0.99,22,2,312,223
1538161319,person,2,0.99,24,2,314,223
1538161319,person,3,0.99,23,2,315,222
1538161319,person,3,0.99,23,4,315,222
1538161319,person,1,0.99,28,6,309,222
1538161319,person,1,0.99,30,4,304,222
1538161319,person,0,0.99,38,5,289,222
1538161319,person,0,0.99,48,7,290,222
1538161319,person,0,1.00,53,7,288,223
1538161319,person,0,1.00,54,13,291,223
1538161319,person,0,1.00,44,15,286,223
1538161319,person,0,1.00,47,16,285,224
1538161319,person,0,1.00,43,16,287,223
1538161319,person,0,1.00,43,18,285,224
1538161319,person,0,1.00,43,18,285,224
1538161320,person,0,1.00,45,17,286,224
1538161320,person,0,1.00,45,16,284,224
1538161320,person,0,1.00,45,13,286,224
1538161320,person,0,1.00,46,10,286,224
1538161320,person,1,1.00,47,10,286,224
1538161320,person,1,1.00,48,9,287,224
1538161320,person,1,1.00,48,9,286,224
1538161320,person,1,1.00,49,10,287,224
1538161320,person,0,1.00,45,8,284,224
1538161320,person,0,1.00,45,8,285,224
1538161320,person,1,1.00,44,9,283,224
1538161320,person,1,1.00,44,10,284,224
1538161320,person,1,1.00,42,10,284,224
1538161320,person,1,1.00,45,11,286,224
1538161320,person,0,1.00,43,9,284,224
1538161320,person,0,1.00,43,8,282,224
1538161320,person,1,1.00,44,7,284,224
1538161321,person,1,1.00,45,8,286,224
1538161321,person,2,1.00,48,6,289,223
1538161321,person,2,1.00,49,2,289,223
1538161321,person,2,1.00,47,2,292,223
1538161321,person,2,1.00,42,3,297,223
1538161321,person,2,1.00,40,5,297,223
1538161321,person,2,1.00,40,5,303,223
1538161321,person,1,1.00,33,3,307,224
1538161321,person,1,1.00,33,3,310,223
1538161321,person,1,1.00,27,2,313,224
1538161321,person,1,1.00,29,3,316,224
1538161321,person,0,1.00,29,2,316,224
1538161321,None,videoend,0,0,0,0,0
