ts,label,id,confidence,startX,startY,endX,endY
1539048822,videostart,0,0,0,0,0,0
1539048830,face,0,0.72,190,-2,270,102
1539048830,face,0,0.94,195,-3,271,110
1539048830,face,0,0.99,198,0,268,119
1539048830,face,0,1.00,198,4,270,122
1539048830,face,0,1.00,196,7,270,122
1539048830,face,0,1.00,197,7,270,122
1539048830,face,0,1.00,198,9,271,124
1539048830,face,0,0.99,197,14,269,127
1539048830,face,0,0.99,196,15,268,127
1539048830,face,0,0.98,195,17,270,130
1539048830,face,0,0.99,194,17,269,129
1539048830,face,0,0.97,196,15,267,125
1539048830,face,0,0.93,195,3,268,110
1539048830,face,0,0.98,195,2,270,109
1539048831,face,0,0.97,195,4,269,110
1539048831,face,0,0.84,197,5,268,109
1539048831,face,0,0.89,199,2,271,101
1539048831,face,0,0.76,198,4,270,104
1539048831,face,0,0.82,201,8,267,103
1539048831,face,0,0.89,201,7,267,101
1539048831,face,0,0.87,203,16,268,105
1539048831,face,0,0.96,202,17,268,104
1539048831,face,0,0.96,204,15,268,104
1539048831,face,0,0.98,205,19,268,108
1539048831,face,0,0.99,206,21,268,106
1539048831,face,0,0.99,208,19,269,106
1539048831,face,0,0.99,208,21,271,109
1539048831,face,0,0.99,209,21,271,108
1539048831,face,0,0.99,213,19,272,104
1539048831,face,0,0.99,212,18,273,104
1539048831,face,0,0.96,212,18,273,102
1539048831,face,0,0.94,213,16,273,99
1539048831,face,0,0.93,211,13,275,98
1539048831,face,0,0.93,212,14,276,98
1539048832,face,0,0.93,215,8,277,92
1539048832,face,0,0.97,215,8,277,90
1539048832,face,0,0.98,217,7,276,88
1539048832,face,0,0.79,220,3,278,85
1539048832,face,0,0.96,216,0,281,86
1539048832,face,0,0.96,216,0,280,86
1539048832,face,0,0.94,217,0,280,84
1539048832,face,0,0.94,218,0,280,84
1539048832,face,0,0.94,217,2,281,84
1539048832,face,0,0.80,219,0,283,81
1539048832,face,0,0.83,218,0,284,81
1539048832,face,0,0.81,219,0,285,81
1539048832,face,0,0.56,219,0,286,80
1539048832,face,0,0.65,219,0,286,79
1539048832,face,0,0.65,219,0,287,79
1539048832,face,0,0.69,219,0,286,79
1539048832,face,0,0.70,220,0,286,79
1539048832,face,0,0.72,220,0,287,79
1539048833,face,0,0.71,221,0,287,79
1539048833,face,0,0.67,224,1,291,80
1539048833,face,0,0.63,224,1,290,81
1539048833,face,0,0.70,225,1,290,81
1539048833,face,0,0.64,226,2,290,81
1539048833,face,0,0.65,224,2,290,82
1539048833,face,0,0.61,224,2,290,81
1539048833,face,0,0.62,223,1,290,82
1539048833,face,0,0.55,222,0,291,83
1539048833,face,0,0.68,218,0,288,82
1539048833,face,0,0.70,218,0,288,83
1539048833,face,0,0.66,218,0,287,82
1539048833,face,0,0.84,218,0,285,82
1539048833,face,0,0.83,217,2,284,81
1539048833,face,0,0.92,211,1,276,79
1539048833,face,0,0.77,208,0,274,77
1539048833,face,0,0.75,203,0,270,79
1539048833,face,0,0.81,201,0,264,77
1539048833,face,0,0.88,199,0,263,79
1539048833,face,0,0.90,200,0,263,80
1539048834,face,0,0.91,201,2,264,81
1539048834,face,0,0.93,202,2,264,81
1539048834,face,0,0.86,204,0,267,82
1539048834,face,0,0.95,204,0,269,83
1539048834,face,0,0.94,207,0,272,81
1539048834,face,0,0.87,208,3,273,81
1539048834,face,0,0.98,211,3,275,80
1539048834,face,0,0.99,212,1,275,81
1539048834,face,0,0.98,212,2,275,80
1539048834,face,0,0.98,212,3,275,81
1539048834,face,0,0.96,212,2,276,81
1539048834,face,0,0.97,212,2,276,81
1539048834,face,0,0.94,214,4,276,82
1539048834,face,0,0.95,214,1,278,82
1539048834,face,0,0.88,216,3,280,82
1539048834,face,0,0.85,217,1,285,82
1539048834,face,0,0.81,219,0,288,83
1539048834,face,0,0.78,220,0,289,83
1539048835,face,0,0.83,222,2,288,83
1539048835,face,0,0.73,224,2,291,85
1539048835,face,0,0.70,225,1,291,86
1539048835,face,0,0.72,225,0,291,87
1539048835,face,0,0.77,226,1,292,87
1539048835,face,0,0.68,226,2,292,87
1539048835,face,0,0.76,226,2,292,86
1539048835,face,0,0.81,227,1,294,87
1539048835,face,0,0.81,227,1,294,87
1539048835,face,0,0.74,227,1,293,88
1539048835,face,0,0.76,227,1,293,88
1539048835,face,0,0.76,227,1,293,88
1539048835,face,0,0.69,228,2,293,87
1539048835,face,0,0.75,227,1,293,87
1539048835,face,0,0.73,227,1,292,87
1539048835,face,0,0.77,227,1,292,87
1539048835,face,0,0.75,226,1,292,87
1539048835,face,0,0.76,226,0,291,87
1539048835,face,0,0.69,225,0,291,87
1539048836,face,0,0.76,224,0,291,86
1539048836,face,0,0.76,224,1,291,86
1539048836,face,0,0.71,224,2,290,86
1539048836,face,0,0.70,223,2,290,85
1539048836,face,0,0.67,221,2,288,84
1539048836,face,0,0.72,221,2,287,84
1539048836,face,0,0.70,223,2,289,85
1539048836,face,0,0.68,221,2,288,84
1539048836,face,0,0.64,223,2,290,86
1539048836,face,0,0.67,223,2,290,86
1539048836,face,0,0.66,223,2,290,86
1539048836,face,0,0.62,223,2,290,86
1539048836,face,0,0.67,221,2,289,84
1539048836,face,0,0.72,224,2,289,86
1539048836,face,0,0.72,224,2,289,86
1539048836,face,0,0.72,224,2,289,86
1539048836,face,0,0.64,224,2,289,87
1539048836,face,0,0.65,221,1,289,85
1539048836,face,0,0.66,221,1,289,85
1539048837,face,0,0.61,223,2,290,86
1539048837,face,0,0.64,221,2,290,84
1539048837,face,0,0.72,221,2,289,84
1539048837,face,0,0.72,220,1,289,84
1539048837,face,0,0.72,221,2,289,84
1539048837,face,0,0.74,221,2,288,83
1539048837,face,0,0.75,220,2,288,83
1539048837,face,0,0.78,221,2,288,84
1539048837,face,0,0.79,221,2,288,83
1539048837,face,0,0.79,221,2,288,83
1539048837,face,0,0.75,221,3,288,83
1539048837,face,0,0.72,221,2,289,84
1539048837,face,0,0.63,221,1,290,85
1539048837,face,0,0.63,226,1,292,87
1539048837,face,0,0.70,228,0,293,89
1539048837,face,0,0.61,228,2,295,90
1539048837,face,0,0.66,229,2,294,91
1539048837,face,0,0.80,230,0,296,93
1539048838,face,0,0.81,230,1,296,93
1539048838,face,0,0.84,229,0,297,96
1539048838,face,0,0.82,228,0,297,96
1539048838,face,0,0.75,228,0,298,96
1539048838,face,0,0.74,229,0,298,96
1539048838,face,0,0.75,230,0,298,95
1539048838,face,0,0.79,230,0,298,95
1539048838,face,0,0.82,230,0,298,95
1539048838,face,0,0.81,230,0,298,95
1539048838,face,0,0.82,230,0,298,95
1539048838,face,0,0.77,230,-1,299,95
1539048838,face,0,0.76,230,-1,299,94
1539048838,face,0,0.79,231,-1,299,94
1539048838,face,0,0.81,231,0,298,94
1539048838,face,0,0.82,231,-1,299,94
1539048838,face,0,0.79,231,0,299,93
1539048838,face,0,0.76,231,-1,299,92
1539048838,face,0,0.74,231,-2,300,92
1539048838,face,0,0.74,231,-1,300,92
1539048839,face,0,0.66,232,-1,299,93
1539048839,face,0,0.65,232,-1,299,93
1539048839,face,0,0.66,233,0,300,92
1539048839,face,0,0.67,233,0,300,91
1539048839,face,0,0.72,233,0,300,91
1539048839,face,0,0.66,227,-1,305,92
1539048839,face,0,0.69,233,0,300,91
1539048839,face,0,0.69,233,0,300,90
1539048839,face,0,0.78,233,0,300,90
1539048839,face,0,0.82,233,0,300,89
1539048839,face,0,0.78,233,0,300,89
1539048839,face,0,0.81,233,1,300,89
1539048839,face,0,0.80,233,2,299,89
1539048839,face,0,0.74,233,0,300,89
1539048839,face,0,0.75,232,0,300,90
1539048839,face,0,0.76,232,0,300,90
1539048839,face,0,0.77,232,0,300,90
1539048839,face,0,0.73,232,0,300,90
1539048840,face,0,0.77,232,0,299,89
1539048840,face,0,0.78,232,0,299,89
1539048840,face,0,0.77,232,0,300,89
1539048840,face,0,0.73,232,0,300,89
1539048840,face,0,0.73,233,0,300,89
1539048840,face,0,0.69,233,0,300,90
1539048840,face,0,0.74,232,0,300,90
1539048840,face,0,0.74,232,0,299,90
1539048840,face,0,0.76,232,0,300,90
1539048840,face,0,0.79,231,0,300,91
1539048840,face,0,0.80,232,0,300,90
1539048840,face,0,0.80,232,0,300,90
1539048840,face,0,0.80,232,-1,299,90
1539048840,face,0,0.80,232,-1,299,90
1539048840,face,0,0.83,232,-1,299,90
1539048840,face,0,0.85,232,0,299,90
1539048840,face,0,0.85,232,0,299,90
