source_file,timestamp,person_index,face_yaw,face_pitch,face_box_top,face_box_left
Measureyes_0924_01_response_0001.json,0,0,,,,
Measureyes_0924_01_response_0001.json,0,1,,,,
Measureyes_0924_01_response_0001.json,0,2,,,,
Measureyes_0924_01_response_0001.json,0,3,,,,
Measureyes_0924_01_response_0001.json,0,4,,,,
Measureyes_0924_01_response_0001.json,0,5,,,,
Measureyes_0924_01_response_0001.json,0,6,,,,
Measureyes_0924_01_response_0001.json,0,7,,,,
Measureyes_0924_01_response_0001.json,0,8,,,,
Measureyes_0924_01_response_0001.json,41,10,,,,
Measureyes_0924_01_response_0001.json,41,9,,,,
Measureyes_0924_01_response_0001.json,41,6,,,,
Measureyes_0924_01_response_0001.json,41,5,,,,
Measureyes_0924_01_response_0001.json,41,7,,,,
Measureyes_0924_01_response_0001.json,41,3,,,,
Measureyes_0924_01_response_0001.json,41,2,,,,
Measureyes_0924_01_response_0001.json,41,1,,,,
Measureyes_0924_01_response_0001.json,41,0,,,,
Measureyes_0924_01_response_0001.json,41,4,,,,
Measureyes_0924_01_response_0001.json,125,10,,,,
Measureyes_0924_01_response_0001.json,125,9,,,,
Measureyes_0924_01_response_0001.json,125,8,,,,
Measureyes_0924_01_response_0001.json,125,6,,,,
Measureyes_0924_01_response_0001.json,125,5,,,,
Measureyes_0924_01_response_0001.json,125,4,,,,
Measureyes_0924_01_response_0001.json,125,2,,,,
Measureyes_0924_01_response_0001.json,125,1,,,,
Measureyes_0924_01_response_0001.json,125,0,,,,
Measureyes_0924_01_response_0001.json,125,3,,,,
Measureyes_0924_01_response_0001.json,166,6,,,,
Measureyes_0924_01_response_0001.json,166,9,,,,
Measureyes_0924_01_response_0001.json,166,8,,,,
Measureyes_0924_01_response_0001.json,166,5,,,,
Measureyes_0924_01_response_0001.json,166,2,,,,
Measureyes_0924_01_response_0001.json,166,3,,,,
Measureyes_0924_01_response_0001.json,166,4,,,,
Measureyes_0924_01_response_0001.json,166,1,,,,
Measureyes_0924_01_response_0001.json,166,0,,,,
Measureyes_0924_01_response_0001.json,250,12,,,,
Measureyes_0924_01_response_0001.json,250,11,,,,
Measureyes_0924_01_response_0001.json,250,9,,,,
Measureyes_0924_01_response_0001.json,250,6,,,,
Measureyes_0924_01_response_0001.json,250,5,,,,
Measureyes_0924_01_response_0001.json,250,3,,,,
Measureyes_0924_01_response_0001.json,250,2,,,,
Measureyes_0924_01_response_0001.json,250,1,,,,
Measureyes_0924_01_response_0001.json,250,0,,,,
Measureyes_0924_01_response_0001.json,250,4,,,,
Measureyes_0924_01_response_0001.json,291,9,,,,
Measureyes_0924_01_response_0001.json,291,12,,,,
Measureyes_0924_01_response_0001.json,291,11,,,,
Measureyes_0924_01_response_0001.json,291,10,,,,
Measureyes_0924_01_response_0001.json,291,8,,,,
Measureyes_0924_01_response_0001.json,291,0,,,,
Measureyes_0924_01_response_0001.json,291,4,,,,
Measureyes_0924_01_response_0001.json,291,3,,,,
Measureyes_0924_01_response_0001.json,291,2,,,,
Measureyes_0924_01_response_0001.json,291,1,,,,
Measureyes_0924_01_response_0001.json,291,5,,,,
Measureyes_0924_01_response_0001.json,375,9,,,,
Measureyes_0924_01_response_0001.json,375,12,,,,
Measureyes_0924_01_response_0001.json,375,11,,,,
Measureyes_0924_01_response_0001.json,375,8,,,,
Measureyes_0924_01_response_0001.json,375,5,,,,
Measureyes_0924_01_response_0001.json,375,4,,,,
Measureyes_0924_01_response_0001.json,375,3,,,,
Measureyes_0924_01_response_0001.json,375,2,,,,
Measureyes_0924_01_response_0001.json,375,1,,,,
